"","Gene","Count"
"463","FBgn0011573",1
"464","FBgn0013973",1
"465","FBgn0013983",1
"466","FBgn0015296",1
"467","FBgn0017572",1
"468","FBgn0022710",1
"469","FBgn0023416",1
"470","FBgn0024150",1
"471","FBgn0024277",1
"472","FBgn0024941",1
"473","FBgn0026238",1
"474","FBgn0026878",1
"475","FBgn0028741",1
"476","FBgn0030391",1
"477","FBgn0030581",1
"478","FBgn0030869",1
"479","FBgn0033266",1
"480","FBgn0033988",1
"481","FBgn0034262",1
"482","FBgn0034312",1
"483","FBgn0035059",1
"484","FBgn0035270",1
"485","FBgn0038295",1
"486","FBgn0038435",1
"487","FBgn0038436",1
"488","FBgn0039530",1
"489","FBgn0039748",1
"490","FBgn0040506",1
"491","FBgn0040507",1
"492","FBgn0040508",1
"493","FBgn0040509",1
"494","FBgn0040510",1
"495","FBgn0050440",1
"496","FBgn0051140",1
"497","FBgn0052301",1
"498","FBgn0052305",1
"499","FBgn0053958",1
"500","FBgn0085390",1
"501","FBgn0085413",1
"502","FBgn0085421",1
"503","FBgn0085447",1
"504","FBgn0086704",1
"505","FBgn0259099",1
"506","FBgn0259927",1
"507","FBgn0263131",1
"508","FBgn0000320",1
"509","FBgn0002576",1
"510","FBgn0003870",1
"511","FBgn0016756",1
"512","FBgn0021764",1
"513","FBgn0050476",1
"514","FBgn0266098",1
"515","FBgn0000250",1
"516","FBgn0011656",1
"517","FBgn0034512",1
"518","FBgn0038391",1
"519","FBgn0051813",1
"520","FBgn0053542",1
"521","FBgn0287775",1
"522","FBgn0015794",1
"523","FBgn0029870",1
"524","FBgn0030608",1
"525","FBgn0033215",1
"526","FBgn0034971",1
"527","FBgn0035206",1
"528","FBgn0040336",1
"529","FBgn0051935",1
"530","FBgn0011204",1
"531","FBgn0011205",1
"532","FBgn0015240",1
"533","FBgn0025615",1
"534","FBgn0034999",1
"535","FBgn0035383",1
"536","FBgn0035632",1
"537","FBgn0036053",1
"538","FBgn0036996",1
"539","FBgn0040344",1
"540","FBgn0063667",1
"541","FBgn0261285",1
"542","FBgn0263864",1
"543","FBgn0265187",1
"544","FBgn0267828",1
"545","FBgn0286723",1
"546","FBgn0023542",1
"547","FBgn0033379",1
"548","FBgn0033661",1
"549","FBgn0034243",1
"550","FBgn0000160",1
"551","FBgn0000536",1
"552","FBgn0000590",1
"553","FBgn0003714",1
"554","FBgn0010473",1
"555","FBgn0016920",1
"556","FBgn0020258",1
"557","FBgn0035934",1
"558","FBgn0036414",1
"559","FBgn0039152",1
"560","FBgn0039647",1
"561","FBgn0060296",1
"562","FBgn0066120",1
"563","FBgn0066128",1
"564","FBgn0066129",1
"565","FBgn0066132",1
"566","FBgn0261794",1
"567","FBgn0264953",1
"568","FBgn0267430",1
"569","FBgn0285944",1
"570","FBgn0003346",1
"571","FBgn0028411",1
"572","FBgn0034282",1
"573","FBgn0003255",1
"574","FBgn0004622",1
"575","FBgn0004841",1
"576","FBgn0004842",1
"577","FBgn0016650",1
"578","FBgn0029723",1
"579","FBgn0030437",1
"580","FBgn0030954",1
"581","FBgn0031770",1
"582","FBgn0033058",1
"583","FBgn0033579",1
"584","FBgn0033744",1
"585","FBgn0033932",1
"586","FBgn0034996",1
"587","FBgn0035331",1
"588","FBgn0035385",1
"589","FBgn0035610",1
"590","FBgn0036278",1
"591","FBgn0036934",1
"592","FBgn0037100",1
"593","FBgn0038139",1
"594","FBgn0038140",1
"595","FBgn0038874",1
"596","FBgn0039354",1
"597","FBgn0039396",1
"598","FBgn0039595",1
"599","FBgn0050106",1
"600","FBgn0050340",1
"601","FBgn0052547",1
"602","FBgn0052843",1
"603","FBgn0053639",1
"604","FBgn0053696",1
"605","FBgn0085440",1
"606","FBgn0259231",1
"607","FBgn0260753",1
"608","FBgn0264002",1
"609","FBgn0266429",1
"610","FBgn0000017",1
"611","FBgn0000063",1
"612","FBgn0000147",1
"613","FBgn0000273",1
"614","FBgn0000274",1
"615","FBgn0000442",1
"616","FBgn0000489",1
"617","FBgn0000721",1
"618","FBgn0000723",1
"619","FBgn0000826",1
"620","FBgn0001079",1
"621","FBgn0002466",1
"622","FBgn0002938",1
"623","FBgn0003124",1
"624","FBgn0003317",1
"625","FBgn0003366",1
"626","FBgn0003371",1
"627","FBgn0003716",1
"628","FBgn0003733",1
"629","FBgn0004106",1
"630","FBgn0004107",1
"631","FBgn0004839",1
"632","FBgn0004876",1
"633","FBgn0005640",1
"634","FBgn0005666",1
"635","FBgn0010269",1
"636","FBgn0010389",1
"637","FBgn0010407",1
"638","FBgn0010909",1
"639","FBgn0011737",1
"640","FBgn0011739",1
"641","FBgn0011754",1
"642","FBgn0011829",1
"643","FBgn0013435",1
"644","FBgn0013759",1
"645","FBgn0013762",1
"646","FBgn0014006",1
"647","FBgn0014073",1
"648","FBgn0015295",1
"649","FBgn0015380",1
"650","FBgn0015402",1
"651","FBgn0015618",1
"652","FBgn0015772",1
"653","FBgn0016126",1
"654","FBgn0016131",1
"655","FBgn0016696",1
"656","FBgn0016930",1
"657","FBgn0017558",1
"658","FBgn0019686",1
"659","FBgn0019949",1
"660","FBgn0019990",1
"661","FBgn0020391",1
"662","FBgn0020412",1
"663","FBgn0020440",1
"664","FBgn0022800",1
"665","FBgn0023081",1
"666","FBgn0023083",1
"667","FBgn0023097",1
"668","FBgn0024179",1
"669","FBgn0024222",1
"670","FBgn0024227",1
"671","FBgn0024245",1
"672","FBgn0024326",1
"673","FBgn0024329",1
"674","FBgn0025702",1
"675","FBgn0025936",1
"676","FBgn0026181",1
"677","FBgn0026323",1
"678","FBgn0026371",1
"679","FBgn0027101",1
"680","FBgn0027504",1
"681","FBgn0027587",1
"682","FBgn0027889",1
"683","FBgn0028360",1
"684","FBgn0028410",1
"685","FBgn0028427",1
"686","FBgn0029736",1
"687","FBgn0029891",1
"688","FBgn0029970",1
"689","FBgn0030018",1
"690","FBgn0030384",1
"691","FBgn0030697",1
"692","FBgn0030864",1
"693","FBgn0031030",1
"694","FBgn0031441",1
"695","FBgn0031518",1
"696","FBgn0031643",1
"697","FBgn0031696",1
"698","FBgn0031730",1
"699","FBgn0031855",1
"700","FBgn0032187",1
"701","FBgn0032650",1
"702","FBgn0032677",1
"703","FBgn0033244",1
"704","FBgn0033773",1
"705","FBgn0034137",1
"706","FBgn0035001",1
"707","FBgn0035397",1
"708","FBgn0035590",1
"709","FBgn0036187",1
"710","FBgn0036896",1
"711","FBgn0037093",1
"712","FBgn0037218",1
"713","FBgn0037325",1
"714","FBgn0037327",1
"715","FBgn0037491",1
"716","FBgn0037679",1
"717","FBgn0038588",1
"718","FBgn0038603",1
"719","FBgn0038902",1
"720","FBgn0039015",1
"721","FBgn0039306",1
"722","FBgn0039623",1
"723","FBgn0039796",1
"724","FBgn0039908",1
"725","FBgn0040298",1
"726","FBgn0040505",1
"727","FBgn0045980",1
"728","FBgn0046332",1
"729","FBgn0046685",1
"730","FBgn0046689",1
"731","FBgn0046692",1
"732","FBgn0051145",1
"733","FBgn0052649",1
"734","FBgn0053519",1
"735","FBgn0053531",1
"736","FBgn0085385",1
"737","FBgn0086657",1
"738","FBgn0250823",1
"739","FBgn0259168",1
"740","FBgn0259678",1
"741","FBgn0260798",1
"742","FBgn0260935",1
"743","FBgn0260990",1
"744","FBgn0261524",1
"745","FBgn0261988",1
"746","FBgn0262081",1
"747","FBgn0262617",1
"748","FBgn0262733",1
"749","FBgn0263237",1
"750","FBgn0263855",1
"751","FBgn0263998",1
"752","FBgn0264087",1
"753","FBgn0264492",1
"754","FBgn0264959",1
"755","FBgn0265045",1
"756","FBgn0265998",1
"757","FBgn0266465",1
"758","FBgn0283473",1
"759","FBgn0283712",1
"760","FBgn0285896",1
"761","FBgn0286813",1
"762","FBgn0287828",1
"763","FBgn0000253",1
"764","FBgn0003218",1
"765","FBgn0004435",1
"766","FBgn0004623",1
"767","FBgn0010350",1
"768","FBgn0000450",1
"769","FBgn0010246",1
"770","FBgn0011661",1
"771","FBgn0014020",1
"772","FBgn0086347",1
